page	words	chars	first_text
68	420	2740	EUAGELIA full proof - 68 Logion 63 Reconstruction Status • Reader status: included in
69	438	2820	EUAGELIA full proof - 69 Logion 64 Reconstruction Status • Reader status: kept in
70	438	2820	EUAGELIA full proof - 70 Logion 65 Reconstruction Status • Reader status: kept in
71	438	2820	EUAGELIA full proof - 71 Logion 66 Reconstruction Status • Reader status: kept in
72	423	2760	EUAGELIA full proof - 72 Logion 67 Reconstruction Status • Reader status: kept in
73	409	2683	EUAGELIA full proof - 73 Logion 68 Reconstruction Status • Reader status: kept in
74	414	2708	EUAGELIA full proof - 74 Logion 69 Reconstruction Status • Reader status: kept in
75	438	2842	EUAGELIA full proof - 75 Logion 70 Reconstruction Status • Reader status: deferred to
76	438	2842	EUAGELIA full proof - 76 Logion 71 Reconstruction Status • Reader status: deferred to
77	448	2915	EUAGELIA full proof - 77 Logion 72 Reconstruction Status • Reader status: included in
78	433	2826	EUAGELIA full proof - 78 Logion 73 Reconstruction Status • Reader status: included in
79	438	2842	EUAGELIA full proof - 79 Logion 74 Reconstruction Status • Reader status: deferred to
80	433	2788	EUAGELIA full proof - 80 Logion 75 Reconstruction Status • Reader status: deferred to
81	438	2820	EUAGELIA full proof - 81 Logion 76 Reconstruction Status • Reader status: kept in
82	438	2824	EUAGELIA full proof - 82 Logion 77 Reconstruction Status • Reader status: deferred to
83	438	2820	EUAGELIA full proof - 83 Logion 78 Reconstruction Status • Reader status: kept in
84	438	2820	EUAGELIA full proof - 84 Logion 79 Reconstruction Status • Reader status: kept in
85	430	2788	EUAGELIA full proof - 85 Logion 80 Reconstruction Status • Reader status: deferred to
86	427	2822	EUAGELIA full proof - 86 Logion 81 Reconstruction Status • Reader status: deferred to
87	422	2780	EUAGELIA full proof - 87 Logion 82 Reconstruction Status • Reader status: kept in
88	435	2809	EUAGELIA full proof - 88 Logion 83 Reconstruction Status • Reader status: deferred to
89	435	2809	EUAGELIA full proof - 89 Logion 84 Reconstruction Status • Reader status: deferred to
90	435	2809	EUAGELIA full proof - 90 Logion 85 Reconstruction Status • Reader status: deferred to
91	431	2836	EUAGELIA full proof - 91 Logion 86 Reconstruction Status • Reader status: included in
92	435	2809	EUAGELIA full proof - 92 Logion 87 Reconstruction Status • Reader status: deferred to
93	435	2809	EUAGELIA full proof - 93 Logion 88 Reconstruction Status • Reader status: deferred to
94	430	2803	EUAGELIA full proof - 94 Logion 89 Reconstruction Status • Reader status: included in
95	422	2699	EUAGELIA full proof - 95 Logion 90 Reconstruction Status • Reader status: kept in
96	436	2900	EUAGELIA full proof - 96 Logion 91 Reconstruction Status • Reader status: included in
97	409	2695	EUAGELIA full proof - 97 Logion 92 Reconstruction Status • Reader status: deferred to
98	430	2794	EUAGELIA full proof - 98 Logion 93 Reconstruction Status • Reader status: kept in
99	440	2843	EUAGELIA full proof - 99 Logion 94 Reconstruction Status • Reader status: kept in
100	427	2826	EUAGELIA full proof - 100 Logion 95 Reconstruction Status • Reader status: included in
101	427	2752	EUAGELIA full proof - 101 Logion 96 Reconstruction Status • Reader status: included in
102	424	2767	EUAGELIA full proof - 102 Logion 97 Reconstruction Status • Reader status: kept in
103	438	2843	EUAGELIA full proof - 103 Logion 98 Reconstruction Status • Reader status: deferred to
104	414	2785	EUAGELIA full proof - 104 Logion 99 Reconstruction Status • Reader status: included in
105	422	2771	EUAGELIA full proof - 105 Logion 100 Reconstruction Status • Reader status: included in
106	410	2752	EUAGELIA full proof - 106 Logion 101 Reconstruction Status • Reader status: kept in
107	438	2844	EUAGELIA full proof - 107 Logion 102 Reconstruction Status • Reader status: deferred to
108	424	2854	EUAGELIA full proof - 108 Logion 103 Reconstruction Status • Reader status: included in
109	443	2927	EUAGELIA full proof - 109 Logion 104 Reconstruction Status • Reader status: 104A kept
110	438	2844	EUAGELIA full proof - 110 Logion 105 Reconstruction Status • Reader status: deferred to
111	425	2764	EUAGELIA full proof - 111 Logion 106 Reconstruction Status • Reader status: deferred to
112	434	2817	EUAGELIA full proof - 112 Logion 107 Reconstruction Status • Reader status: included in
113	438	2844	EUAGELIA full proof - 113 Logion 108 Reconstruction Status • Reader status: deferred to
114	430	2796	EUAGELIA full proof - 114 Logion 109 Reconstruction Status • Reader status: kept in
115	432	2841	EUAGELIA full proof - 115 Logion 110 Reconstruction Status • Reader status: deferred to
116	415	2779	EUAGELIA full proof - 116 Logion 111 Reconstruction Status • Reader status: deferred to
117	435	2811	EUAGELIA full proof - 117 Logion 112 Reconstruction Status • Reader status: deferred to
118	430	2796	EUAGELIA full proof - 118 Logion 113 Reconstruction Status • Reader status: kept in
119	409	2725	EUAGELIA full proof - 119 Logion 114 Reconstruction Status • Reader status: excluded from
120	13	90	EUAGELIA full proof - 120 Evidence Dossier For The Earliest Sayings Gospel Reconstruction
121	127	859	EUAGELIA full proof - 121 Thesis This dossier defends a selective reconstruction of the
122	99	676	EUAGELIA full proof - 122 Scope Of The Dossier This dossier is the English
123	156	1046	EUAGELIA full proof - 123 Source Hierarchy The project weighs sources in this order:
124	141	961	EUAGELIA full proof - 124 Reconstruction Method Each unit is evaluated independently. A unit
125	147	971	EUAGELIA full proof - 125 Clean-Reader Selection Principles The clean reader is intentionally conservative.
126	161	1100	EUAGELIA full proof - 126 Greek Witness And Retroversion Policy Absence of an extant
127	146	920	EUAGELIA full proof - 127 Probability And Reader-Decision Control The project does not use
128	103	787	EUAGELIA full proof - 128 Cluster-Control Method Cluster-control notes prevent two opposite errors: 1.
129	78	418	EUAGELIA full proof - 129 Current Reader Block The current reconstructed reader block covers
130	516	3473	EUAGELIA full proof - 130 Cluster Summaries Beatitudes Cluster Cluster note: . Decision implication:
131	175	1416	EUAGELIA full proof - 131 Major Appendix-Only And Exclusion Cases The following high-impact cases
132	115	819	EUAGELIA full proof - 132 Uncertainty Model And Alternative Reconstructions This reconstruction is probabilistic
133	114	756	EUAGELIA full proof - 133 Bibliography, Rights, And Citation Note Current working rules: •
134	10	60	EUAGELIA full proof - 134 Included Logia And Core Summaries
135	64	430	EUAGELIA full proof - 135 Logion 1 Summary Decision: INCLUDE_WITH_MARKER Logion 1 is retained
136	103	636	EUAGELIA full proof - 136 Logion 2 Summary Decision: INCLUDE_WITH_MARKER The search/find core is
137	91	617	EUAGELIA full proof - 137 Logion 3 Summary Decision: INCLUDE_WITH_MARKER The kingdom core is
138	75	484	EUAGELIA full proof - 138 Logion 4 Summary Decision: INCLUDE_WITH_MARKER The first/last formula is
139	75	499	EUAGELIA full proof - 139 Logion 5 Summary Decision: INCLUDE_WITH_MARKER The hidden/revealed maxim is
140	163	1067	EUAGELIA full proof - 140 Logion 6 Summary Decision: INCLUDE_WITH_MARKER for the short ethical
141	173	1208	EUAGELIA full proof - 141 Ritual-Ethics Cluster Summary The control cluster covers Thomas 6,
142	41	280	EUAGELIA full proof - 142 Logion 7 Summary Decision: UNCERTAIN. Reason: the lion/human saying
143	100	640	EUAGELIA full proof - 143 Logion 8 Summary Decision: UNCERTAIN. Possible candidate: A wise
144	156	994	EUAGELIA full proof - 144 Logion 9 Summary Decision: sower core INCLUDE_WITH_MARKER; full Logion
145	145	965	EUAGELIA full proof - 145 Logion 10 Summary Decision: fire-casting core INCLUDE_WITH_MARKER; full Logion
146	134	850	EUAGELIA full proof - 146 Logion 11 Summary Decision: UNCERTAIN. Strongest possible subunit: This
147	137	984	EUAGELIA full proof - 147 Logion 16 Summary Decision: division/household core INCLUDE_WITH_MARKER; full Logion
148	149	975	EUAGELIA full proof - 148 Logion 20 Summary Decision: INCLUDE_WITH_MARKER Possible early core: The
149	132	954	EUAGELIA full proof - 149 Logion 22 Summary Decision: children/kingdom core INCLUDE_WITH_MARKER; full logion
150	124	807	EUAGELIA full proof - 150 Logion 25 Summary Decision: INCLUDE_WITH_MARKER Marked reader text: Love
151	119	763	EUAGELIA full proof - 151 Logion 26 Summary Decision: INCLUDE_WITH_MARKER Marked reader text: First
152	191	1261	EUAGELIA full proof - 152 Logion 27 Summary Decision: UNCERTAIN Extant saying: If you
153	128	799	EUAGELIA full proof - 153 Logion 31 Summary Decision: INCLUDE_WITH_MARKER Marked reader text: A
154	89	585	EUAGELIA full proof - 154 Logion 32 Summary Decision: INCLUDE_WITH_MARKER Marked reader text: A
155	147	869	EUAGELIA full proof - 155 Logion 33 Summary Decision: INCLUDE_WITH_MARKER Marked reader units: What
156	108	690	EUAGELIA full proof - 156 Logion 34 Summary Decision: INCLUDE_WITH_MARKER Marked reader text: If
157	112	736	EUAGELIA full proof - 157 Logion 35 Summary Decision: INCLUDE_WITH_MARKER Marked reader text: No
158	144	936	EUAGELIA full proof - 158 Logion 36 Summary Decision: INCLUDE_WITH_MARKER Marked reader text: Do
159	129	854	EUAGELIA full proof - 159 Logion 39 Summary Decision: INCLUDE_WITH_MARKER Marked reader units: The
160	165	1119	EUAGELIA full proof - 160 Logion 41 Summary Decision: INCLUDE_WITH_MARKER Marked reader text: Whoever
161	175	1195	EUAGELIA full proof - 161 Logion 45 Summary Decision: 45A INCLUDE_WITH_MARKER; full Logion 45
162	149	995	EUAGELIA full proof - 162 Logion 47 Summary Decision: 47B INCLUDE_WITH_MARKER; full Logion 47
163	173	1159	EUAGELIA full proof - 163 Logion 54 Summary Decision: INCLUDE_WITH_MARKER Marked reader text: Blessed
164	176	1198	EUAGELIA full proof - 164 Logion 63 Summary Decision: rich-fool core INCLUDE_WITH_MARKER; full Logion
165	181	1183	EUAGELIA full proof - 165 Logion 72 Summary Decision: INCLUDE_WITH_MARKER Marked reader text: A
166	158	1056	EUAGELIA full proof - 166 Logion 73 Summary Decision: INCLUDE_WITH_MARKER Marked reader text: The
167	138	836	EUAGELIA full proof - 167 Thomas Unity / Monachos Cluster Summary Decision rule: unity
168	85	570	EUAGELIA full proof - 168 Logion 86 Summary Decision: INCLUDE_WITH_MARKER Marked reader text: Foxes
169	89	601	EUAGELIA full proof - 169 Logion 89 Summary Decision: INCLUDE_WITH_MARKER Marked reader text: Why
170	100	651	EUAGELIA full proof - 170 Logion 95 Summary Decision: INCLUDE_WITH_MARKER Marked reader text: If
171	87	569	EUAGELIA full proof - 171 Logion 96 Summary Decision: leaven core INCLUDE_WITH_MARKER; full Logion
172	84	593	EUAGELIA full proof - 172 Logion 99 Summary Decision: true-family core INCLUDE_WITH_MARKER; full Logion
173	84	566	EUAGELIA full proof - 173 Logion 100 Summary Decision: Caesar/God core INCLUDE_WITH_MARKER; full Logion
174	109	738	EUAGELIA full proof - 174 Logion 103 Summary Decision: thief/watchfulness core INCLUDE_WITH_MARKER; full Logion
175	103	665	EUAGELIA full proof - 175 Logion 107 Summary Decision: lost-sheep core INCLUDE_WITH_MARKER; full Logion
176	211	1498	EUAGELIA full proof - 176 Logion 114 Exclusion Summary Decision: EXCLUDE_AS_SECONDARY. Logion 114 is
177	145	954	EUAGELIA full proof - 177 Bibliography And Rights Print Source Keys • NHC II,2
